ID,Title,Bias
17392,Trump Takes on Democrats and Health Law in New Twitter Blitz,Left
17569,Eric Holder to Lead Democrats’ Attack on Republican Gerrymandering,Left
17644,Democrats Confront F.B.I. Chief at Closed-Door Intelligence Briefing,Left
17911,"Democrats, With Garland on Mind, Mobilize for Supreme Court Fight",Left
18145,"Democrats Skip Votes, Delaying Confirmation of Trump Nominees",Neutral
18166,Trump Says ‘Go Nuclear’ as Democrats Gird for Gorsuch Fight,Left
18685,"Democratic Member to Quit Election Commission, Setting Up Political Fight",Left
18754,Democrats’ Best Bet to Retake the House? Follow the Sun,Neutral
18772,"Weakened Democrats Bow to Voters, Opting for Total War on Trump",Left
19194,"If Russia Inquiry Is Not ‘Legitimate,’ Democrats May Abandon It",Left
19234,"It’s Democrats’ Turn to Hint at a Shutdown, Over Border Wall Funding",Left
19313,"A History of Presidents, Mostly Democrats, Paying Homage to Jackson",Neutral
19516,Democrats Plan to Filibuster to Thwart Gorsuch Nomination,Left
19539,"In a Call to The Times, Trump Blames Democrats for the Failure of the Health Bill",Left
19595,"Democrats, Buoyed by G.O.P. Health Defeat, See No Need to Offer Hand",Right
19614,House Democrats Ask Devin Nunes to Recuse Himself From Russia Inquiry,Left
19790,Gorsuch Supreme Court Nomination Gains More Democratic Support,Left
19809,Democrats’ Vow to Filibuster Ensures Bitter Fight Over Gorsuch,Left
19848,"In Georgia, Anti-Trump Activism Stirs Democratic Hopes",Right
19898,Democrats Are Bad at Midterm Turnout. That Seems Ready to Change.,Left
20017,Democrats See Opening in Tax Overhaul Fight: Trump’s Own Deductions,Left
20381,Bernie Sanders’s Feud With the Democratic Leadership Heats Up,Left
20408,"Success of Jerry Brown, and California, Offers Lesson to National Democrats",Neutral
20482,Democrats Jump on Allies of Donald Trump in Judge Dispute,Left
20518,"Obama Endorses Hillary Clinton, and Urges Democrats to Unite",Left
20669,House Democrats’ Gun-Control Sit-In Turns Into Chaotic Showdown With Republicans,Left
20678,"Democratic Party, Hillary Clinton, Donald Trump: Your Thursday Evening Briefing",Neutral
20736,House Democrats Release Benghazi Report to Blunt Republican Inquiry,Left
20799,White House Prohibits Cabinet From Addressing Democratic Convention,Left
20907,Elizabeth Warren Is Invited to Speak on Democratic Convention’s First Night,Neutral
21002,Mike Pence’s Journey: Catholic Democrat to Evangelical Republican,Right
21038,"Democrats’ Divisions Linger, but Parties Have Seen Far Worse",Right
21047,Democratic Convention Day 4 Takeaways: Over? She’s Just Starting,Left
21049,Democratic Convention Night 4: What You Missed,Neutral
21407,Democrats Have a 60 Percent Chance to Retake the Senate,Left
21569,"Young Blacks Voice Skepticism on Hillary Clinton, Worrying Democrats",Right
21600,Senate Democrats Block Zika Bill Over Planned Parenthood Provisions,Neutral
21904,"Democrats Rake In Money, Thanks to Suit by Republicans",Left
21956,Why Referendums Aren’t as Democratic as They Seem,Left
22071,"Florida Voter Registration Deadline Is Extended, a Win for Democrats",Left
22151,A Democrat Deft With a Firearm Tightens the Race for the Senate,Left
22349,Congressional Republicans Project Unity While Democrats Scramble,Right
22409,"In a Trump Era, Schumer Declares, Democrats Are ‘the Barrier’",Left
22562,"After Democrats’ Losses, Nancy Pelosi Becomes a Symbol of What Went Wrong",Right
22579,Nancy Pelosi Beats Back House Democratic Leadership Challenge,Left
22623,"Hearings Will Unmask ‘Swamp Creatures’ in Trump’s Cabinet, Democrats Say",Left
22722,"Senate Democrats Relent, Averting Government Shutdown",Left
22752,Trump Links C.I.A. Reports on Russia to Democrats’ Shame Over Election,Left
22821,"To Combat Trump, Democrats Ready a G.O.P. Tactic: Lawsuits",Left
22822,"Democrats at Crossroads: Win Back Working-Class Whites, or Let Them Go?",Left
23078,"Criticizing Israel, Bernie Sanders Highlights Split Among Jewish Democrats",Left
23116,White Man or Black Woman? Senate Race Tears at Maryland Democrats,Left
23127,Bernie Sanders and Allies Aim to Shape Democrats’ Agenda After Primaries,Left
23374,"Democrats End Sit-In After 25 Hours, Drawing Attention to Gun Control",Left
23459,House G.O.P. May Seek to Punish Democrats for Gun Control Sit-In,Left
23598,"Donald Trump Invades Scranton, Hoping to Wrest Pennsylvania From Democrats",Left
23667,This Is a Jobs Report That Democrats Can Boast About,Left
23729,Hacker Releases More Democratic Party Documents,Left
24305,Fear of Donald Trump Helps Democrats Mobilize Hispanics,Left
24382,"Pulling Democrats Back to ‘It’s the Economy, Stupid’",Left
24419,"Why Democrats Now Need the F.B.I. Director, James Comey",Left
24431,Obama May Jump Into Fray as Democrats Counter Trump,Left
24453,Democrats’ Leadership Fight Pits West Wing Against Left Wing,Left
24632,"Democrats Hone a New Message: It’s the Economy, Everyone",Left
24879,Rift Between Labor and Environmentalists Threatens Democratic Turnout Plan,Right
24918,"Hillary Clinton Has Clinched Democratic Nomination, Survey Reports",Left
24924,"As Democrats Nudge Bernie Sanders, G.O.P. Tries to Rein In Donald Trump",Left
25038,"Bernie Sanders Endorses Hillary Clinton, Hoping to Unify Democrats",Neutral
25200,Democrats’ Weak Bench Undermines Hope of Taking Back Senate,Right
25636,Democrats and Feds in Dispute on Trump’s D.C. Hotel Lease,Left
25716,"In Democratic Debate, Clinton and Sanders Spar Over Judgment",Left
25911,Democrats Step Up Pursuit of House Republicans Left Limping by Donald Trump,Left
26123,Democratic House Candidates Were Also Targets of Russian Hacking,Left
26323,"For Democrats, Anthony Weiner Makes an Unwelcome Return",Right
26415,Zika Bill Is Blocked by Senate Democrats Upset Over Provisions,Right
26440,"As Donald Trump Falters, Democrats Plan to Press Fight for Supreme Court",Left
26565,Brokaw: ’Democrats Have a Lot of Reconstruction to Do of Their Own Party’ - Breitbart,Right
26647,"MILO: Democrats Are No Longer the Party of the Working Man, They’re ’the Party of the Cuckold’ - Breitbart",Right
26657,"Democrats Want Rid of David Brock, ’No One Wants Anything to Do With Him’ - Breitbart",Right
26694,Ted Cruz: Not One Democrat — Including Hillary and Obama — Voted Against Neil Gorsuch’s Federal Judgeship - Breitbart,Right
26713,Schumer: ’Lots’ of Democrats Could Beat Trump in 2020 - Breitbart,Left
26788,Democrats Jump on Sessions Resignation Band Wagon - Breitbart,Right
26794,"Montana Democrats Vote Against Bill Banning Sharia Law, Call It ’Repugnant’ - Breitbart",Right
26797,Nuclear Option-The Speech: Trump Rendering Sullen Democrats Irrelevant - Breitbart,Right
26811,Greenwald: The Democratic Party ’Has Collapsed as a National Political Force’ - Breitbart,Right
26854,Limbaugh Calls Out Trump for Border Wall ’Cave’ - ’The Country Is Ready to Blame the Democrats’ for a Shutdown - Breitbart,Right
26987,Sonnie Johnson at CPAC: ’Systemic Racism and White Supremacy’ Belong to the Democrats - Breitbart,Right
27018,Ned Ryun: Trump WH Breaking into Two Factions -- National Populists vs. Liberal NYC Democrats,Left
27075,Democrats Are Asking Hillary Clinton to Step out of the Spotlight - Breitbart,Right
27196,Priebus: Spending Bill a ’Colossal Failure’ for Democrats - Breitbart,Right
27227,"Limbaugh: Virginia Shooter the Personification of ’the Lunatic Fringe Base, the Deranged Base of the Democrat Party’ - Breitbart",Right
27247,"Donald Trump Blames Democrats for Health Care Failure, Promises Better Plan in the Future - Breitbart",Right
27278,Lindsey Graham: ’Democrats Cleaned Our Clock’ on Spending Bill - Breitbart,Right
27305,Politico: Democrats in the Wilderness - Breitbart,Right
27316,"Democrat Responds to Trump Speech, Calls Himself ’Proud Republican’ - Breitbart",Right
27325,Democrats Refuse to Stand for Navy SEAL’s Widow When She Received a Standing Ovation at Trump Speech,Right
27341,The Atlantic VP: ’Democratization’ of News via the Internet Left People ’Overwhelmed with Information’ - Breitbart,Right
27354,Democrat Representative on House Floor: Trump ’Must Be Impeached’,Left
27505,Hans Von Spakovsky: Democrats Oppose Jeff Sessions Because He’ll Enforce Our Immigration Laws,Right
27600,Ted Cruz Draws Democrat Challenger for 2018 Race,Neutral
27664,"Brooks: Trump Doesn’t Believe In US Policy ’Based on Post-WWII Institutions That Believed In Democratic, Global World’ - Breitbart",Left
27678,Shock Berkeley Poll: California Voters Want Democrats to Work with Trump - Breitbart,Right
27724,Kellyanne Conway: Democratic Leaders Should Put a Stop to Violent Anti-Trump Protesters - Breitbart,Right
27806,Democratic Leaders Nervous About Overreach as Members Push for Trump Impeachment,Right
27843,Bernie Sanders to California Democrats: Please Pass Single-Payer Health Care! - Breitbart,Right
27912,Democrats Are in Worse Shape than Even They Think,Right
27995,Poll: 56 Percent of Democrats Want All of Trump’s Nominees Blocked - Breitbart,Right
27998,Politico: Democrats Complain DHS John Kelly Is Not Following Their Commands,Right
28044,"Kasich: Extreme Republicans, Democrats ’Ought to Be Marginalized’ - Breitbart",Neutral
28062,Democrat Gutierrez Blames Chicago’s Gun Violence on NRA - Breitbart,Right
28159,"7 Reasons Why Obamacare 2.0 Is All But Guaranteed to Impose Crushing Costs on Voters, Hurt Trump’s Base, And Hand Power Back to the Democrats - Breitbart",Right
28179,Democrats Use Budget to Fundraise — ‘Not One Red Cent for Donald’s Wall’,Left
28313,"Limbaugh: Sessions-Russia Story Is About Obama, Democrats ’Attempting to Sabotage the Trump Presidency’ - Breitbart",Right
28516,Son of Former Democratic VP Nominee Geraldine Ferraro Is Pardoned for 1988 Cocaine Conviction - Breitbart,Right
28521,"Eurosceptic, Anti-Mass Immigration Sweden Democrats Surge To First Place in Polls",Right
