ID,Title,Bias
53369,73564,Will Mike Pence Be Trump’s Bridge to Democrats?,Right
53410,73614,The GOP’s Favorite Democrat Goes to Syria,Left
53560,73814,House Republicans and Democrats Represent Divergent Americas,Neutral
53601,73866,Are Trump’s Generals Mounting a Defense of Democratic Institutions?,Left
53616,73881,How Progressives Are Forcing Senate Democrats Into Action,Left
53693,73988,The Atlantic Politics & Policy Daily: Senate Democrats Stay Up Late on a School Night,Left
53877,74215,Democrats Want Answers on Trump Officials’ Ties to Russia,Left
54032,74416,Can the Democratic Party Win Back Voters It Lost to Trump?,Left
54062,74450,The Democrats Have Their Chairman,Neutral
54088,74510,Why the Battle for Leadership of the Democratic Party Mattered,Left
54119,74541,Trump’s Budget Proposal Threatens Democratic and Republican Ambitions,Left
54201,74625,Can Millennials Save the Democratic Party?,Left
54492,74996,Why Are Democrats Holding Back on Gorsuch?,Left
54692,75265,Democrats Go to War Over Neil Gorsuch,Right
54837,75448,Trump’s Support From Democrats on Syria,Right
54978,75646,The Districts Where Democrats Might Find the Next Georgia 6,Right
55026,75697,Rifts Over Abortion and Economic Populism Threaten to Divide Democrats,Right
55103,75805,How Democrats Learned to Love Trump’s Negotiating Style,Right
55116,75818,Is There Any Room in the ’Big Tent’ for Pro-Life Democrats?,Left
55156,75859,Will Democrats Shut Down the Government Over Obamacare?,Left
55183,75896,Why Do So Many Americans Think Democrats Are Out of Touch?,Right
55188,75911,The Governor’s Race on Track to Give Democrats a Decisive Victory,Left
55215,75938,What If Bernie Sanders Is the Democrats’ Best Bet?,Left
55272,76032,"The Atlantic Daily: After the Snowstorm, Democratic Presidential Race, Super Bowl Teams",Neutral
55421,76308,Can Democrats Get Republicans to Move on Scalia’s Replacement?,Left
55783,76794,Live Coverage of the Democratic Debate,Neutral
55793,76804,A Democratic Showdown in Brooklyn,Left
55814,76825,The Democrats’ Most Substantive Climate Debate Yet,Left
56144,77252,What Democratic Landslide?,Right
56232,77367,Is the Democratic Primary Really Rigged?,Left
56315,77452,The Democratic Wingman of the Democratic Party,Left
56355,77515,A Win for Early Voting—and Democrats—in Ohio,Left
56382,77544,An Awkward Reality in the Democratic Primary,Right
56552,77769,Hillary Clinton Has Enough Delegates to Claim the Democratic Nomination,Left
56592,77810,Is the Democratic Race Really Over?,Right
57195,78552,House Democrats Try to Force Another Vote on Zika,Left
57209,78566,Pennsylvania Democrat Chaka Fattah Found Guilty,Neutral
57213,78570,Democrats Fight Back on Gun Control,Left
57221,78578,When House Democrats Turned Out the Lights on Republicans,Left
57240,78597,"The Edge: Supremes Split, Democrats Sit",Left
57350,78730,Civics Lessons From the House Democrats’ Sit-In,Left
57454,78887,House Democrats Take a Milder Approach on Gun Control,Left
57631,79097,An Early Democratic Convention Lineup,Neutral
57643,79111,Turkey’s Putsch and the Democratic Dilemma,Neutral
57765,79272,The Democrat That Republicans Really Fear Most,Left
