Column,id,title,publication,date
31595,50361,Trump says he has inside information on hacking,CNN,2017-01-01
31598,50364,Trump wishes Happy New Year to ’my many enemies’,CNN,2016-12-31
31609,50375,Trump ditches press pool to play golf,CNN,2016-12-31
31615,50381,Latino leaders ask: When will Trump reach out to Hispanics?,CNN,2016-12-31
31616,50382,Putin congratulates Trump in New Year statement,CNN,2016-12-31
31623,50389,How Trump made hatred profitable for Milo,CNN,2017-01-02
31626,50392,Trump’s Russia claims drive this week in politics,CNN,2017-01-01
31627,50393,"Mark Shriver to Trump: Don’t forget about children, the poor ",CNN,2017-01-02
31650,50416,Trump gives colorful New Year’s Eve speech,CNN,2017-01-02
31652,50418,"Trump to ’repeal a lot’ of Obama’s actions on day one, top aide says",CNN,2017-01-01T00:00:00Z
31654,50420,House Republicans pull plan to gut independent ethics committee  after Trump tweets,CNN,2017-01-03T00:00:00Z
31655,50421,"Facing growing North Korea nuke threat, Trump vows: ’It won’t happen!’",CNN,2017-01-02
31658,50424,Conway defends Trump over hacking statements,CNN,2017-01-03
31662,50428,GOP senator: I’ll ’wait and see’ what Trump says on Russia’s role in hacking,CNN,2017-01-03
31663,50429,Adviser contradicts Trump: Russians hacked the US,CNN,2017-01-02
31665,50431,Trump: Chicago mayor should ask feds to help combat homicides,CNN,2017-01-02
31668,50434,How Trump can reshape the federal courts,CNN,2017-01-02
31673,50439,Blue states should take Trump’s tax cut money and run,CNN,2017-01-02
31678,50444,Chuck Schumer: Trump opposition leader,CNN,2017-01-04
31679,50445,Trump derides intel briefing on ’so-called’ Russian hacking,CNN,2017-01-04
31683,50449,"If Democrats delay action on Trump nominees, America suffers",CNN,2017-01-04T00:00:00Z
31691,50457,Obama tells Democrats: ’Don’t rescue’ Republicans on ’Trumpcare’,CNN,2017-01-04T00:00:00Z
31699,50465,Will black college band perform at Trump inauguration?,CNN,2017-01-04
31708,50474,Trump Cabinet confirmation meeting schedule,CNN,2017-01-05
31710,50476,Donald Trump’s fight with America’s spies,CNN,2017-01-04
31714,50480,"Omarosa to join Trump team, focus on public engagement",CNN,2017-01-04
31720,50486,The meaning of tolerance in the Trump era,CNN,2017-01-04
31732,50498,"Trump asking Congress, not Mexico, to pay for border wall",CNN,2017-01-06
31733,50499,Republican Obamacare fan hopes Trump’s stance softens,CNN,2017-01-06T00:00:00Z
31734,50500,Trump’s spiritual adviser fires back at critics ,CNN,2017-01-05
31736,50502,Former CIA chief cuts ties with Trump,CNN,2017-01-06
31753,50519,Kaine: Why is Trump Putin’s ’defense lawyer’?,CNN,2017-01-05
31763,50529,Mexico’s Fox trolls Trump: ’Are you a legitimate president?’,CNN,2017-01-07
31767,50533,Thirsty at Trump’s DC hotel bar? Get ready for a yuge bill,CNN,2017-01-07
31769,50535,Trump downplays Russian meddling in election despite intel report,CNN,2017-01-06
31773,50539,Is Sessions Trump’s scariest Cabinet pick?,CNN,2017-01-06
31780,50546,Hill GOP skeptical over Trump plan to force Mexico payment of border wall,CNN,2017-01-06
31785,50551,The challenge of covering Trump,CNN,2017-01-06
31787,50553,Trump’s GOP opponents left too much to chance,CNN,2017-01-06
31788,50554,Peeking behind the curtain as GOP loyalties shift to Trump,CNN,2017-01-06
31789,50555,Evangelicals and Trump: A story of forgiveness,CNN,2017-01-06
31794,50560,Ethics office: Trump nominees still not properly vetted,CNN,2017-01-07
31801,50568,Romney backs Trump’s choice for education secretary,CNN,2017-01-07
31803,50570,USSS chief says ’No friction’ with Trump’s private security,CNN,2017-01-07
31813,50580,Trump: Only ’stupid’ people think warm ties with Russia are a bad thing,CNN,2017-01-07
31817,50584,Meryl Streep attacks Trump in Golden Globes acceptance speech,CNN,2017-01-09
31821,50588,North Korea sends message to Trump amid missile threat ,CNN,2017-01-09
31842,50609,Kushner: Trump didn’t believe conspiracy theories,CNN,2017-01-09
31848,50615,Sanders urges Dems to challenge -- but not obstruct -- Trump,CNN,2017-01-09
31861,50628,Cabinet hearings kick off: Meet Trump’s new government,CNN,2017-01-09
31870,50637,Ryan to meet with Trump aides on tax reform,CNN,2017-01-09
31872,50639,Republicans ask if they should take Trump literally,CNN,2017-01-11T00:00:00Z
31874,50641,Congress grapples with new allegations of Trump-Russia ties,CNN,2017-01-11
31877,50644,"Trump may start with US ambassador in Jerusalem, not an embassy",CNN,2017-01-10
31885,50652,"DHS pick breaks with Trump on controversial proposals, appears poised for confirmation",CNN,2017-01-10
31889,50656,Intel chiefs presented Trump with claims of Russian efforts to compromise him,CNN,2017-01-10
31890,50657,Trump team denies skeptic was asked to head vaccine commission,CNN,2017-01-10
31894,50661,"Trump wants Obamacare repeal ’quickly,’ but Republicans aren’t ready",CNN,2017-01-10T00:00:00Z
31895,50662,Sessions suggests Trump admin could stamp out legal pot,CNN,2017-01-10
31900,50667,Donald Trump is ’gaslighting’ all of us,CNN,2017-01-10
31904,50671,Giuliani to advise Trump administration on cybersecurity,CNN,2017-01-12
31907,50674,What the last 48 hours told us about Trump’s next 4 years,CNN,2017-01-12
31910,50677,Trump’s CIA pick: Russian hacking ’aggressive action’ ,CNN,2017-01-12
31916,50683,Gergen: Trump swings wildly at wrong target,CNN,2017-01-11
31917,50684,US spy chief rejects Trump’s attack over Russia dossier,CNN,2017-01-12
31933,50700,First on CNN: Trump expected to tap longtime federal prosecutor for key DOJ post ,CNN,2017-01-13
31935,50702,"Biden confirms Obama, VP were briefed on unsubstantiated claims against Trump",CNN,2017-01-12T00:00:00Z
31943,50710,Opinion: Trump and Tillerson could make waves for US-China relations,CNN,2017-01-13
