Column,id,title,publication,date
60326,82591,Fire tears through Dubai luxury hotel near planned fireworks show,Fox News,2015-12-31
60327,82593,Top Carson campaign staffers resign,Fox News,2015-12-31
60328,82594,Democrat Martin O’Malley fails to qualify for Ohio’s primary ballot,Fox News,2015-12-31
60329,82595,"Brawl breaks out in GOP race, below the Trump tier",Fox News,2015-12-30
60330,82596,Donald Trump blasts Bill Clinton as ’one of the great abusers of the world’,Fox News,2015-12-30
60331,82597,German police clear two train stations due to ’imminent threat’ of terror attack,Fox News,2015-12-31
60332,82598,"Security tight as terror threat looms over New York, Los Angeles New Year’s celebrations",Fox News,2015-12-30
60333,82599,Revelers ring in the new year despite fears of attacks,Fox News,2015-12-31
60334,82600,"Drop in oil prices rocks producer states, triggers historic tax hike plan in Alaska",Fox News,2016-01-01
60335,82602,U.S. Oil Prices End 2015 Down 30% for the Year,Fox News,2015-12-31
60336,82603,Obama to meet Monday with AG Lynch about ’options’ to tighten gun laws,Fox News,2016-01-01
60337,82604,"Open Carry law takes effect in Texas, but activists keep fighting",Fox News,2016-01-01
60338,82605,Open carry comes to Texas: Why the Lone Star state will be safer in 2016,Fox News,2015-12-30
60339,82606,Mississippi River tops levee in southern Illinois,Fox News,2016-01-01
60340,82607,Missing Illinois teen’s last text: ’Help’,Fox News,2016-01-01
60341,82608,"Pennsylvania boy, 5, vanishes from party without coat, shoes",Fox News,2016-01-01
60342,82609,Cops hunt for driver after Minneapolis woman killed in hit-and-run,Fox News,2016-01-01
60343,82610,"House GOP: First task sending White House bill repealing ObamaCare, defunding Planned Parenthood",Fox News,2016-01-02
60344,82612,"Iran, Germany, Middle East Muslim leaders condemn Saudi Arabia’s execution of prominent Shiite cleric",Fox News,2016-01-02
60345,82613,"Revered Shiite cleric in Saudi Arabia has death sentence upheld on appeal, brother says",Fox News,2015-10-25
60346,82614,"Saudi court sentences iconic Shiite cleric to death, sparking fears of unrest in kingdom",Fox News,2014-10-15
60347,82615,"St. Louis-area residents face massive cleanup, recovery",Fox News,2016-01-02
60348,82616,Governors tour flooded areas amid threat to more homes,Fox News,2016-01-02
60349,82617,Hotel worker: ’Affluenza’ teen woke mom to pay strip club bar bill in Mexico,Fox News,2016-01-02
60350,82618,"Saudi Arabia cuts ties with Iran, foreign minister says",Fox News,2016-01-03
60351,82620,Iran’s supreme leader warns Saudi Arabia of ’divine revenge’ for cleric’s execution,Fox News,2016-01-03
60352,82621,GOP field rips Obama’s move toward executive action to tighten gun control laws,Fox News,2016-01-03
60353,82622,Trump brushes off Islamic militant group’s recruiting video that cites his words,Fox News,2016-01-03
60354,82623,Low-polling 2016 presidential candidates insist their campaigns are still in the mix ,Fox News,2016-01-03
60355,82624,Armed protesters in Oregon land fight give demands as ranchers head to prison,Fox News,2016-01-04
60356,82625,Nevada sheriff says Cliven Bundy must be held accountable for standoff,Fox News,2014-07-05
60357,82626,Atlanta girl shot during robbery for her hoverboard,Fox News,2016-01-03
60358,82627,Police arrest man with weapons cache in car before NHL Winter Classic,Fox News,2016-01-02
60359,82628,Obama executive action on guns to require background checks for more sales,Fox News,2016-01-04
60360,82630,President Obama wants to disarm America,Fox News,2016-01-04
60361,82631,"Rancher family reports to prison, does not endorse Oregon siege",Fox News,2016-01-04
60362,82633,US under pressure to assure Mideast allies amid Iran-Saudi dispute,Fox News,2016-01-04
60363,82634,Sunni vs. Shia: A rivalry as old as Islam,Fox News,2016-01-04
60364,82635,US reportedly fears Iran-Saudi Arabia rift will set back ISIS fight,Fox News,2016-01-03
60365,82636,Saudi Arabia says Iran must act ’normal’ as allies scale back ties to Tehran,Fox News,2016-01-04
60366,82637,Our Shia Problem,Fox News,2016-01-04
60367,82638,Body of country singer Craig Strickland found after days of searching,Fox News,2016-01-04
60368,82639,Country music’s saddest stories of 2015,Fox News,2015-12-22
60369,82640,Searchers find 3rd body in Wisconsin lake after canoe accident; 1 remains missing ,Fox News,2016-01-04
60370,82641,"Ripe for radicalization: Federal prisons ’breeding ground’ for terrorists, say experts",Fox News,2016-01-05
60371,82643,"Wanted British terrorist reportedly sold bounce houses, then joined ISIS",Fox News,2016-01-05
60372,82644,Roman Catholic priest freed from militant captivity in Syria,Fox News,2016-01-05
60373,82645,"French president honors victims of Charlie Hebdo, kosher market attacks",Fox News,2016-01-05
60374,82646,"ISIS has 50 British children under its control, report finds",Fox News,2016-01-05
60375,82647,Official: Child in grisly ISIS video should be taken from parents if family returns to Britain,Fox News,2016-01-05
60376,82648,"Obama announces gun control actions, expands background checks",Fox News,2016-01-05
60377,82649,Obama’s gun control actions open legal can of worms,Fox News,2016-01-05
60378,82650,ATF guidance on who qualifies as a firearms dealer,Fox News,2016-01-05
60379,82651,Obama’s small ball on guns could be a big deal,Fox News,2016-01-05
60380,82652,"Universal background checks do little to stop mass shootings, study finds",Fox News,2016-01-05
60381,82653,Martha MacCallum: Gun violence and tears for lost children,Fox News,2016-01-05
60382,82654,Judge Napolitano: Why Obama’s executive action on guns is unconstitutional,Fox News,2016-01-05
60383,82655,More than a dozen US troops trapped amid Afghanistan firefight,Fox News,2016-01-05
60384,82656,Afghan police refuse to return to embattled district to fight Taliban,Fox News,2015-12-29
60385,82657,"Pentagon pushing for long-term US presence at Bagram, as Taliban gain ground",Fox News,2015-12-28
60386,82658,Singer Craig Strickland made it out of lake before succumbing to hypothermia,Fox News,2016-01-05
60387,82659,Bodies found in search for missing ’EastEnders’ actress and her children,Fox News,2016-01-05
60388,82660,Missing Texas mom found dead after car plunged into ravine,Fox News,2016-01-05
60389,82661,Congress sends health law repeal to Obama’s desk for first time,Fox News,2016-01-06
60390,82663,"Pentagon begins wave of Gitmo transfers, sends 2 detainees to Ghana",Fox News,2016-01-06
60391,82664,Source: ’Al Qaeda followers’ among 17 being transferred from Gitmo,Fox News,2016-01-04
60392,82665,Alabama top justice tells judges not to issue gay marriage licenses,Fox News,2016-01-06
60393,82666,Kentucky gov removes names of county clerks from marriage licenses,Fox News,2015-12-23
60394,82667,Anglicans Fearing Permanent Split Over Gay Marriage as Bishops Threaten to Walk Out,Fox News,2016-01-05
60395,82668,"Ken Griffey Jr., Mike Piazza elected to the National Baseball Hall of Fame",Fox News,2016-01-06
60396,82669,"US student visa program’s ’many vulnerabilities’ raise spying, terror fears",Fox News,2016-01-07
