Column,id,title,publication,date
60329,82595,"Brawl breaks out in GOP race, below the Trump tier",Fox News,2015-12-30T00:00:00Z
60330,82596,Donald Trump blasts Bill Clinton as ’one of the great abusers of the world’,Fox News,2015-12-30T00:00:00Z
60353,82622,Trump brushes off Islamic militant group’s recruiting video that cites his words,Fox News,2016-01-03T00:00:00Z
60406,82681,"Fox News Poll: Cruz, Trump remain top GOP picks in Iowa",Fox News,2016-01-08T00:00:00Z
60408,82683,Fox News Poll: Trump holds commanding lead in New Hampshire,Fox News,2016-01-08T00:00:00Z
60420,82697,"Fox News Poll: Trump, Cruz top GOP race nationally",Fox News,2016-01-09T00:00:00Z
60423,82704,"Trump says Cruz should resolve citizenship issue, can compete with Clinton",Fox News,2016-01-10T00:00:00Z
60476,82767,"Trump, Cruz clash over eligibility, ‘New York values’ at GOP debate",Fox News,2016-01-15T00:00:00Z
60506,82804,Trump threatens to abandon Scotland deal as UK debates banning him,Fox News,2016-01-18T00:00:00Z
60507,82805,Trump looks to appeal to evangelicals at Liberty University,Fox News,2016-01-18T00:00:00Z
60518,82818,Sarah Palin endorses Donald Trump’s presidential bid,Fox News,2016-01-19T00:00:00Z
60529,82831,"Will Trump, Cruz battle alienate their mutual supporters?",Fox News,2016-01-20T00:00:00Z
60531,82833,Trump’s Palin surprise: An Iowa boost from a fellow reality show star,Fox News,2016-01-20T00:00:00Z
60554,82857,"Fox News Poll: Trump, Cruz top GOP race, few have ’birther’ concerns",Fox News,2016-01-22T00:00:00Z
60556,82859,RNC cuts debate ties with conservative magazine over anti-Trump issue,Fox News,2016-01-22T00:00:00Z
60557,82860,"As Washington publically frets over storm, GOP worries about impact of Trump, Cruz on Hill majority",Fox News,2016-01-23T00:00:00Z
60563,82867,Trump weighs lawsuit over Cruz citizenship,Fox News,2016-01-24T00:00:00Z
60565,82869,"Fox News Poll: Trump gains in Iowa, still dominates in New Hampshire",Fox News,2016-01-24T00:00:00Z
60588,82894,"Cruz, allies launch anti-Trump ad blitz in bid to reclaim Iowa lead",Fox News,2016-01-26T00:00:00Z
60604,82913,"Candidates in GOP debate look to step up, without Trump distraction",Fox News,2016-01-28T00:00:00Z
60605,82914,Veterans group won’t take Trump fundraiser donations,Fox News,2016-01-28T00:00:00Z
60637,82951,"Trump, Cruz trade shots on eve of Iowa Caucus",Fox News,2016-01-31T00:00:00Z
60650,82966,Is Trump made of Teflon? And nine other questions Iowa will answer,Fox News,2016-02-01T00:00:00Z
60671,82988,"Cruz fires back at Trump’s cheating charges, says ’he’s losing it’",Fox News,2016-02-03T00:00:00Z
60675,82993,Donald Trump admits skipping debate may have hurt him in Iowa,Fox News,2016-02-02T00:00:00Z
60676,82994,Trump after Iowa: What the GOP frontrunner must do next ,Fox News,2016-02-03T00:00:00Z
60678,82996,"Pundits enjoy Trump’s setback, but can he still make them losers?",Fox News,2016-02-03T00:00:00Z
60713,83034,"Trump defends ‘temperament’ at GOP debate, rebuts Cruz criticism",Fox News,2016-02-06T00:00:00Z
60744,83072,"Trump wins New Hampshire with help from Independents, late deciders",Fox News,2016-02-09T00:00:00Z
60747,83075,Trump on possible Bloomberg run: ’I would love to see it’,Fox News,2016-02-09T00:00:00Z
60783,83114,Trump: Pope doesn’t understand US-Mexico immigration issue,Fox News,2016-02-12T00:00:00Z
60807,83142,"Fireworks erupt between Trump and Bush, Rubio and Cruz at GOP debate",Fox News,2016-02-14T00:00:00Z
60808,83143,"GOP Debate: Trump verges on tantrums; Rubio, Bush and Cruz all have solid night",Fox News,2016-02-14T00:00:00Z
60816,83152,"Trump unleashes on Cruz, threatens eligibility lawsuit over alleged ’lies’",Fox News,2016-02-15T00:00:00Z
60818,83155,"If Trump can win SC, he can win anywhere",Fox News,2016-02-15T00:00:00Z
60819,83156,"George W. hits the campaign trail, amid taunts from Trump over his legacy",Fox News,2016-02-15T00:00:00Z
60834,83174,"Cruz dares Trump to sue him over abortion ad, vows to run it ’more frequently’",Fox News,2016-02-17T00:00:00Z
60837,83178,Cruz tops Trump in new national GOP poll,Fox News,2016-02-17T00:00:00Z
60845,83186,Fox News Poll:  Trump still leads national race for GOP nomination,Fox News,2016-02-18T00:00:00Z
60855,83198,Trump endorsed Iraq invasion in 2002 radio interview,Fox News,2016-02-18T00:00:00Z
60860,83205,Trump wins South Carolina GOP primary,Fox News,2016-02-20T00:00:00Z
60861,83207,Trump: Pope ’did not understand’ illegal immigration crime problem,Fox News,2016-02-19T00:00:00Z
60862,83209,"Krauthammer on South Carolina: ’Trump is going to win, probably big’",Fox News,2016-02-19T00:00:00Z
60867,83216,"After South Carolina, can anybody take on Trump?",Fox News,2016-02-21T00:00:00Z
60869,83219,Donald Trump muses about Marco Rubio’s eligibility to run for president,Fox News,2016-02-21T00:00:00Z
60890,83242,"Former Bush donors rally around Rubio, in bid to take on Trump",Fox News,2016-02-23T00:00:00Z
60891,83243,Core Republicans throw support to Rubio as best bet to derail Trump,Fox News,2016-02-23T00:00:00Z
60897,83250,What is a Trump Republican? GOP front-runner building diverse coalition,Fox News,2016-02-24T00:00:00Z
60898,83251,Romney suggests a ’bombshell’ in Trump’s tax returns,Fox News,2016-02-24T00:00:00Z
60899,83252,"Scramble for Super Tuesday begins, after Trump notches 3rd win",Fox News,2016-02-24T00:00:00Z
60900,83253,Time for Trump to name a GOP Dream Team,Fox News,2016-02-24T00:00:00Z
60901,83254,Trump picks up first congressional GOP endorsements,Fox News,2016-02-24T00:00:00Z
60902,83255,"Trump wins Nevada:  Voter anger is real, and it’s propelling The Donald forward",Fox News,2016-02-24T00:00:00Z
60903,83256,"Polls: In home state Ohio, Kasich beats Clinton, but trails Trump in primary",Fox News,2016-02-24T00:00:00Z
60926,83280,"In fresh attacks, Rubio takes on Trump, tries to hold onto post-debate bounce",Fox News,2016-02-26T00:00:00Z
60927,83282,Christie endorses Trump for president,Fox News,2016-02-26T00:00:00Z
60930,83285,Big debate? Nah… It’s still a Trump world and the other candidates are just living in it,Fox News,2016-02-26T00:00:00Z
60931,83286,The Trump veepstakes chatter: Already? Why some of the speculation is silly,Fox News,2016-02-26T00:00:00Z
60938,83293,Rubio vows ’you’ll be hearing’ from dissatisfied Trump University students,Fox News,2016-02-27T00:00:00Z
60939,83294,Trump wants to weaken libel laws amid feuds with reporters,Fox News,2016-02-27T00:00:00Z
60940,83295,"Beyond just endorsing Trump, Christie now attack dog in chief against Rubio",Fox News,2016-02-27T00:00:00Z
60941,83297,"Making, discovery of Trump as GOP candidate, like the finding of space’s gravitational waves",Fox News,2016-02-27T00:00:00Z
60956,83313,Trump hit by Rubio and Cruz in KKK endorsement flap,Fox News,2016-02-28T00:00:00Z
60957,83314,"Cruz, Rubio reveal tax info, Cruz hints Trump tied to mob biz",Fox News,2016-02-28T00:00:00Z
60958,83315,Donald Trump says Hispanic judge showing ’hostility’ in court case,Fox News,2016-02-28T00:00:00Z
60959,83316,Trump gets endorsement of Alabama Sen. Jeff Sessions,Fox News,2016-02-28T00:00:00Z
60976,83334,"Amid protests, a Secret Service-media tussle at Trump rally in Virginia",Fox News,2016-02-29T00:00:00Z
60983,83343,NY court rules fraud charges against Trump University can proceed,Fox News,2016-03-01T00:00:00Z
60994,83356,Trump builds delegate lead – but it’s no lock,Fox News,2016-03-02T00:00:00Z
60995,83357,"Trump, Clinton rack up Super Tuesday wins; Cruz keeps foothold",Fox News,2016-03-02T00:00:00Z
60998,83360,"Trump, Cruz team up to put squeeze on Rubio",Fox News,2016-03-02T00:00:00Z
60999,83361,"Trump is now unstoppable. It’s game over for Cruz, Rubio, Kasich and Carson",Fox News,2016-03-02T00:00:00Z
61004,83366,Motown Showdown: Surging Trump faces GOP rivals – after debating Romney from afar,Fox News,2016-03-03T00:00:00Z
61007,83370,Romney’s prepared remarks on Trump campaign,Fox News,2016-03-03T00:00:00Z
61008,83371,Trump unveils seven-point healthcare reform plan,Fox News,2016-03-03T00:00:00Z
61020,83384,"Expected wins for Clinton, Trump rivals in big Saturday balloting, but will it be enough? ",Fox News,2016-03-05T00:00:00Z
61022,83386,Cruz blasts Trump as phony conservative in front of CPAC crowd,Fox News,2016-03-04T00:00:00Z
61030,83394,"Paul wanted Kentucky to caucus, still taking Trump fire",Fox News,2016-03-05T00:00:00Z
61043,83410,"Romney touts Cruz wins over Trump, will not reject GOP nod if drafted at convention",Fox News,2016-03-06T00:00:00Z
61053,83421,"Could a President Trump, Cruz work with Paul Ryan and Congress?",Fox News,2016-03-07T00:00:00Z
61054,83422,Trump doing better in ’open’ primaries; Cruz sees success in GOP-only contests,Fox News,2016-03-07T00:00:00Z
61057,83425,New video questions Trump’s stance on gay marriage,Fox News,2016-03-07T00:00:00Z
61063,83432,"Romney sends out anti-Trump robo-calls for Rubio, Kasich",Fox News,2016-03-08T00:00:00Z
61074,83443,Fox News Poll: Trump dominates GOP race in Florida,Fox News,2016-03-09T00:00:00Z
61077,83446,"Aligning Against Donald? Bush to meet with Trump rivals, as Fiorina backs Cruz",Fox News,2016-03-09T00:00:00Z
61078,83447,"FNC Wednesday primetime lineup: Kasich, Cruz, Trump, Rubio",Fox News,2016-03-09T00:00:00Z
61079,83448,Could Trump win over some black voters?,Fox News,2016-03-09T00:00:00Z
61087,83457,"Cruz says Trump backers have ’relatively low information,’ not very ’engaged’",Fox News,2016-03-10T00:00:00Z
61089,83459,Assault at Trump rally raises questions about police response,Fox News,2016-03-10T00:00:00Z
61106,83477,Trump rivals make last-ditch push to thwart front-runner,Fox News,2016-03-11T00:00:00Z
61108,83479,Dr. Manny: What Carson’s Trump endorsement means for health care,Fox News,2016-03-11T00:00:00Z
61109,83480,"Rubio campaign reportedly urging voters to back Kasich in Ohio, in bid to block Trump",Fox News,2016-03-11T00:00:00Z
61110,83481,"Breitbart reporter, Trump campaign escalate clash over alleged assault",Fox News,2016-03-11T00:00:00Z
61111,83482,Trump triumphs at GOP debate. Rivals and moderators can’t lay a glove on front-runner,Fox News,2016-03-11T00:00:00Z
61114,83485,Campaign event chaos follows Trump from Chicago to Ohio,Fox News,2016-03-12T00:00:00Z
61124,83500,"Trump says Americans are ’angry,’ he’s ’just the messenger’ ",Fox News,2016-03-13T00:00:00Z
61126,83503,Ex-CIA Director: Does Donald Trump understand the role of commander in chief?,Fox News,2016-03-11T00:00:00Z
61134,83511,Trump sets sights on Ohio — upping pressure on Kasich,Fox News,2016-03-14T00:00:00Z
61137,83515,Hillary’s warm but Trump’s just crazy. The media’s wacky take on the 2016 frontrunners,Fox News,2016-03-14T00:00:00Z
61139,83517,"Breitbart reporter, editor resign over response to alleged assault by Trump campaign manager",Fox News,2016-03-14T00:00:00Z
61149,83528,Anti-Trump protests fueled by patchwork of liberal groups,Fox News,2016-03-15T00:00:00Z
61163,83544,"Trump builds momentum with big night, narrowing field",Fox News,2016-03-16T00:00:00Z
61164,83545,5 North Carolina deputies disciplined in connection with Trump campaign rally,Fox News,2016-03-16T00:00:00Z
61167,83548,It’s down to Trump and Cruz. Kasich is not part of the equation,Fox News,2016-03-16T00:00:00Z
61175,83556,"Moving Pieces: GOP alliances shift in bids to block, boost Trump",Fox News,2016-03-17T00:00:00Z
61180,83562,"Analysis: Media, Beltway warnings about Trump a throwback to 1980 ",Fox News,2016-03-17T00:00:00Z
61191,83574,Could GOP panel make or break Trump bid at Cleveland convention?,Fox News,2016-03-18T00:00:00Z
61193,83576,"Police union: Chicago Trump rally chaos did not have to escalate, chief issued stand-down orders",Fox News,2016-03-18T00:00:00Z
61204,83589,"Trump supporters, protesters clash outside rally in Salt Lake City",Fox News,2016-03-19T00:00:00Z
61205,83590,Fox News responds to Trump’s attacks on Megyn Kelly,Fox News,2016-03-19T00:00:00Z
61219,83608,Trump reportedly to meet with top Republicans in Washington,Fox News,2016-03-20T00:00:00Z
61221,83610,Trump campaign manager faces new criticism about grabbing someone at event,Fox News,2016-03-20T00:00:00Z
61224,83613,"Trump, Clinton battle for Israel vote, vow support in major Washington speeches",Fox News,2016-03-21T00:00:00Z
61225,83615,"Trump meets with GOP lawmakers in DC, urges party to ‘embrace’ him",Fox News,2016-03-21T00:00:00Z
61226,83616,"Montana GOP officials fight to ’close’ primary, in complication for Trump",Fox News,2016-03-21T00:00:00Z
61241,83632,"After Brussels, Trump, Cruz slam Obama, call for halts to immigration programs",Fox News,2016-03-22T00:00:00Z
61267,83660,"Fox News Poll: Cruz gains on Trump in GOP race, Clinton up by double digits",Fox News,2016-03-23T00:00:00Z
61270,83663,"Trump, Cruz battle gets personal, over wives, then Hollywood lines",Fox News,2016-03-23T00:00:00Z
61279,83673,"Latest ISIS video includes Trump clip, Brussels boast, new threats against West",Fox News,2016-03-24T00:00:00Z
61283,83677,Cruz calls Trump a ’sniveling coward’ over wife tweet,Fox News,2016-03-24T00:00:00Z
61286,83680,Students terrified by ’Trump 2016’ chalk drawings,Fox News,2016-03-24T00:00:00Z
61302,83697,"Cruz responds to ’garbage’ affair accusations, blames Trump",Fox News,2016-03-25T00:00:00Z
61305,83700,Report questions background of veteran offered ’job’ by Trump,Fox News,2016-03-25T00:00:00Z
61306,83701,Trump accused of Putin favors with NATO criticism,Fox News,2016-03-25T00:00:00Z
61342,83742,"Clinton makes Supreme Court vacancy a campaign issue, warns about Trump",Fox News,2016-03-28T00:00:00Z
61343,83744,"The tabloid campaign: The Enquirer, Cruz, Trump and the media’s dilemma",Fox News,2016-03-28T00:00:00Z
61355,83756,Trump stands by campaign manager charged with battery over alleged reporter grab,Fox News,2016-03-29T00:00:00Z
61357,83758,"Wisconsin Gov. Walker endorses Cruz, in latest primary setback for Trump",Fox News,2016-03-29T00:00:00Z
61358,83759,Charles Lane on Trump and ex-Breitbart reporter: ’He’s displacing the blame onto her’,Fox News,2016-03-29T00:00:00Z
61359,83760,California college student claims pro-Trump message an act of ’violence’,Fox News,2016-03-29T00:00:00Z
61371,83773,"Trump meets with RNC chief in DC, days after backing out of pledge",Fox News,2016-03-31T00:00:00Z
61373,83776,"A message to Trump, Cruz and their followers",Fox News,2016-03-31T00:00:00Z
61374,83777,Trump is losing in Wisconsin. But why?,Fox News,2016-03-31T00:00:00Z
61375,83778,Trump gets super PAC help in Wisconsin ahead of primary,Fox News,2016-03-31T00:00:00Z
61376,83779,Cops find man accused of pepper spraying girl at Donald Trump rally,Fox News,2016-03-31T00:00:00Z
61377,83780,Van Susteren to host town hall with Trump ahead of Wisconsin primary,Fox News,2016-03-31T00:00:00Z
61379,83782,"Clinton targets Trump in TV ad, as Sanders ups pressure",Fox News,2016-03-30T00:00:00Z
61382,83787,Pro-Clinton group files DOJ report alleging Trump-Carson appointment deal,Fox News,2016-04-01T00:00:00Z
61384,83789,"Trump claims abortion remarks taken out of context, but admits ’it could be that I misspoke’",Fox News,2016-03-31T00:00:00Z
61388,83793,Obama says comments like Trump’s show ignorance about world,Fox News,2016-04-01T00:00:00Z
61396,83802,Palin calls on Republicans to unify behind Trump candidacy at GOP dinner,Fox News,2016-04-02T00:00:00Z
61404,83811,"Trump regrets Heidi Cruz retweet, digs in on NATO and Asia nukes",Fox News,2016-04-03T00:00:00Z
61405,83813,"Candidates crisscross Wisconsin, where leaders Trump, Clinton stare down upsets",Fox News,2016-04-03T00:00:00Z
61406,83814,"Trump, Cruz take different paths Saturday but stay on the attack",Fox News,2016-04-03T00:00:00Z
61415,83827,"Trump, Cruz pressure Kasich to exit GOP primary race",Fox News,2016-04-04T00:00:00Z
61416,83828,Trump faces new headaches in behind-scenes battle for delegates,Fox News,2016-04-04T00:00:00Z
