Column,id,title,publication,date
107267,160641,"Thanks To Russia, 2016 Isn’t Really Going To End For Obama And Trump ",NPR,2016-12-31T00:00:00Z
107268,160642,Trump Tweets Give A Glimpse Into Foreign Policy Approach,NPR,2016-12-28T00:00:00Z
107269,160643,"As U.S. Confronts Russia, Trump’s Admiration Of Putin Is Consistent",NPR,2016-12-30T00:00:00Z
107286,160660,"U.S. Ethics Chief Was Behind Those Tweets About Trump, Records Show",NPR,2016-12-30T00:00:00Z
107292,160666,"Coal Country Picked Trump. Now, It Wants Him To Keep His Promises",NPR,2017-01-01T00:00:00Z
107313,160702,Ethics Expert: Trump’s Efforts To Address Conflicts Are ’Baby Steps’,NPR,2017-01-02T00:00:00Z
107329,160724,Prominent Trump Backers Sign Letter Pushing To End Conflicts Of Interest,NPR,2017-01-03T00:00:00Z
107335,160730,Shaming Firms That Export Jobs Has Worked For Trump So Far ,NPR,2017-01-03T00:00:00Z
107336,160731,Trump’s Pick For U.S. Trade Representative Hints At Big Policy Overhaul,NPR,2017-01-03T00:00:00Z
107337,160732,"After Backlash, Including From Trump, House GOP Drops Weakening Of Ethics Office",NPR,2017-01-03T00:00:00Z
107343,160738,Anticipating Trump: Deportation Fears Give Immigrant Advocates A Boost,NPR,2017-01-03T00:00:00Z
107370,160769,"Trump Picks Ex-Senator, Banned From Russia, As His Intelligence Chief",NPR,2017-01-05T00:00:00Z
107372,160771,"When It Comes To Russia, So Far Donald Trump Mostly Stands Alone",NPR,2017-01-05T00:00:00Z
107374,160773,Trump Deposed For 90 Minutes In Civil Case Involving Chef José Andrés,NPR,2017-01-05T00:00:00Z
107375,160774,Trump Relatives’ Potential White House Roles Could Test Anti-Nepotism Law,NPR,2017-01-05T00:00:00Z
107379,160778,Are Trump And U.S. Intelligence Community Headed For A Showdown?,NPR,2017-01-05T00:00:00Z
107380,160779,"At Odds With GOP Over Hacking, Trump Splits With Precedent",NPR,2017-01-05T00:00:00Z
107396,160795,U.S. Manufacturers Brace For Trump’s Next Trade Targets ,NPR,2017-01-05T00:00:00Z
107399,160798,"Putin Ordered ’Influence Campaign’ To Help Trump, U.S. Intelligence Report Says ",NPR,2017-01-06T00:00:00Z
107400,160799,"On Intelligence And Russian Hacking, Are Trump And His Team Missing The Point?",NPR,2017-01-06T00:00:00Z
107403,160802,New Democratic Senate Leader Vows To Hold ’Donald Trump’s Feet To The Fire’,NPR,2017-01-06T00:00:00Z
107404,160803,Bernie Sanders Says Trump Won Because Democrats Are Out Of Touch,NPR,2017-01-06T00:00:00Z
107417,160817,Trump Business Deals In Southeast Asia Raise Conflict Of Interest Concerns,NPR,2017-01-06T00:00:00Z
107424,160824,"Despite Controversy, A College Band From Alabama Will March In Trump’s Parade",NPR,2017-01-06T00:00:00Z
107428,160828,Ethics Office Warns Confirmations For Trump Nominees Are Moving Too Fast,NPR,2017-01-07T00:00:00Z
107446,160871,Trump Names Son-In-Law Jared Kushner As White House Senior Adviser,NPR,2017-01-09T00:00:00Z
107448,160873,Bears Ears Monument Is A Win For Tribal Food Sovereignty. Will Trump Undo It?,NPR,2017-01-09T00:00:00Z
107449,160874,This Could Be The Busiest And Most Consequential Week Before Trump Takes Office,NPR,2017-01-09T00:00:00Z
107457,160883,"At Golden Globes, Meryl Streep Takes On Donald Trump",NPR,2017-01-09T00:00:00Z
107472,160900,"Despite The Facts, Trump Once Again Embraces Vaccine Skeptics",NPR,2017-01-10T00:00:00Z
107476,160904,"Confirmation Hearing For Betsy DeVos, Trump’s Education Pick, Delayed A Week",NPR,2017-01-10T00:00:00Z
107485,160913,Insurance Customers In Pennsylvania Look To Trump To Ease Their Burden,NPR,2017-01-10T00:00:00Z
107498,160928,Trump Dismisses Russian Connection Allegations As ’Fake News’,NPR,2017-01-11T00:00:00Z
107499,160929,"Donald Trump’s Press Conference, Annotated",NPR,2017-01-11T00:00:00Z
107501,160931,"Trump Denies Allegations Of Secret Ties, Collusion Between Campaign And Russia ",NPR,2017-01-10T00:00:00Z
107505,160936,"How The Donald Trump Cabinet Stacks Up, In 3 Charts",NPR,2016-12-28T00:00:00Z
107516,160947,Trump D.C. Hotel Contractors Say They’re Owed Millions,NPR,2017-01-11T00:00:00Z
107518,160949,How Democrats Are Using Confirmation Hearings To Attack Trump ,NPR,2017-01-11T00:00:00Z
107519,160950,"Homeland Security Pick Kelly Splits With Trump Over Immigration, Torture",NPR,2017-01-10T00:00:00Z
107520,160951,Trump Announces David Shulkin As Pick For Secretary Of Veterans Affairs,NPR,2017-01-11T00:00:00Z
107529,160960,Ex-Spy Who Reportedly Assembled Trump Dossier Appears To Be In Hiding,NPR,2017-01-12T00:00:00Z
107532,160965,"U.S. Troops Arrive In Poland, But Will Trump Keep Them There?",NPR,2017-01-12T00:00:00Z
107539,160973,FACT CHECK: Trump Lawyer’s Claim And Comparison To Rockefeller Is A Head Scratcher,NPR,2017-01-12T00:00:00Z
107540,160975,Trump Urges People To ’Buy L.L.Bean’ Amid Boycott Threat,NPR,2017-01-12T00:00:00Z
107541,160976,"U.S. Ethics Official: Trump’s Divestiture Is Hard, Pricey And Essential",NPR,2017-01-12T00:00:00Z
107553,160989,Rudy Giuliani To Advise Trump On Cyber Issues,NPR,2017-01-12T00:00:00Z
107554,160990,Chao Coasting To Confirmation As Trump’s Transportation Secretary,NPR,2017-01-12T00:00:00Z
107558,160994,Trump Team: Top Adviser Talked With Russian Ambassador Before U.S. Hacking Response,NPR,2017-01-13T00:00:00Z
107561,160997,White Nationalists’ Enthusiasm For Trump Cools,NPR,2017-01-13T00:00:00Z
107564,161000,"With His Choice Of Inauguration Prayer Leaders, Trump Shows His Values",NPR,2017-01-13T00:00:00Z
107568,161004,Trump’s Cabinet Picks Break With Him On At Least 10 Major Issues,NPR,2017-01-13T00:00:00Z
107571,161007,Trump’s Promises Of Deportations Create Uncertainty For N.J. Family,NPR,2017-01-13T00:00:00Z
107572,161008,Transgender Americans Race To Finish Paperwork Before Trump Administration,NPR,2016-12-17T00:00:00Z
