Column,id,title,publication,date
81101,122303,Trump praises ‘very smart’ Putin for not retaliating against US,New York Post,2016-12-30T00:00:00Z
81107,122309,Cafe owner backs down after banning ‘Nazi’ Trump voters,New York Post,2016-12-31T00:00:00Z
81134,122356,Obama’s petty attempts to sabotage Trump are bound to fail,New York Post,2016-12-30T00:00:00Z
81161,122383,Media outlets report bogus news after tweet about Trump,New York Post,2016-12-27T00:00:00Z
81171,122394,Trump promises to disclose details about Russian hacking,New York Post,2017-01-01T00:00:00Z
81177,122401,Why bash Trump when you can try to convince him?,New York Post,2017-01-01T00:00:00Z
81194,122422,How Trump could exact revenge against the NFL,New York Post,2017-01-01T00:00:00Z
81206,122458,Trump expected to pick Sonny Perdue for agriculture secretary,New York Post,2017-01-02T00:00:00Z
81224,122480,"The economy isn’t going to do what Trump wants, banks say",New York Post,2017-01-02T00:00:00Z
81227,122513,Omarosa lands job on Trump’s White House staff,New York Post,2017-01-03T00:00:00Z
81233,122520,"Bill and Hillary are going to Trump’s inauguration, too",New York Post,2017-01-03T00:00:00Z
81247,122534,Trump is already delivering the jobs he promised America,New York Post,2017-01-01T00:00:00Z
81263,122551,Trump to name Robert Lighthizer as US trade rep,New York Post,2017-01-03T00:00:00Z
81265,122553,Nonprofits would rather spite Trump than help those in need,New York Post,2017-01-03T00:00:00Z
81286,122579,This is Ivanka Trump and Jared Kushner’s new DC home,New York Post,2017-01-04T00:00:00Z
81289,122583,Trump blames ‘Schumer clowns’ for ObamaCare ‘mess’,New York Post,2017-01-04T00:00:00Z
81297,122591,Men wearing Trump masks duke it out in hardware store,New York Post,2017-01-04T00:00:00Z
81310,122604,Trump’s new political director was a key figure in Bridgegate,New York Post,2017-01-04T00:00:00Z
81321,122617,Crazy liberals can stop worrying about raising kids in ‘Trump’s America’,New York Post,2017-01-03T00:00:00Z
81323,122619,Ford ditches Mexico plan — and Trump wins again,New York Post,2017-01-03T00:00:00Z
81336,122635,Trump Soho is home to yet another million-dollar studio,New York Post,2017-01-04T00:00:00Z
81339,122639,Relaxed regulations under Trump may lead to media company mergers,New York Post,2017-01-03T00:00:00Z
81343,122644,Trump blasts report on Russian hacking against White House,New York Post,2017-01-05T00:00:00Z
81348,122650,Trump’s latest ‘big border tax’ threat aimed at Toyota,New York Post,2017-01-05T00:00:00Z
81351,122653,Trump to name Dan Coats as director of national intelligence,New York Post,2017-01-05T00:00:00Z
81352,122654,Trump tears into ‘clown’ Chuck Schumer on Twitter,New York Post,2017-01-05T00:00:00Z
81356,122658,Why Trump is wrong to target the US intelligence community,New York Post,2017-01-05T00:00:00Z
81379,122681,Why Britain’s leader is desperate to work with Trump,New York Post,2017-01-05T00:00:00Z
81380,122682,The Hollywood ‘Stop Trump’ crew gets angry,New York Post,2017-01-04T00:00:00Z
81398,122706,Trump to meet with longtime rival Graydon Carter,New York Post,2017-01-05T00:00:00Z
81410,122719,Trump wants to hunt down NBC’s hacking source,New York Post,2017-01-06T00:00:00Z
81429,122738,Trump bashes Arnold over weak ‘Celebrity Apprentice’ ratings,New York Post,2017-01-06T00:00:00Z
81488,122841,Trump dumps longtime announcer for inauguration,New York Post,2017-01-08T00:00:00Z
81490,122845,Obama thinks Obamacare will survive a Trump presidency,New York Post,2017-01-08T00:00:00Z
81492,122847,Trump accuses ‘Meet the Press’ of cutting Conway’s interview,New York Post,2017-01-08T00:00:00Z
81501,122856,Democrats wage anti-Trump offensive for their own gain,New York Post,2017-01-08T00:00:00Z
81515,122875,Tourneau store near Trump Tower loses $2 million in sales,New York Post,2017-01-08T00:00:00Z
81517,122877,How Trump can negotiate his way to success as president,New York Post,2017-01-08T00:00:00Z
81556,122934,Golden Globes turns into the roast of Donald Trump,New York Post,2017-01-09T00:00:00Z
81557,122935,Donald Trump fires back at Meryl Streep for Globes speech,New York Post,2017-01-09T00:00:00Z
81558,122936,Alibaba aims to create a million US jobs with Trump’s help,New York Post,2017-01-09T00:00:00Z
81561,122939,GM: Trump won’t drive us out of Mexico,New York Post,2017-01-09T00:00:00Z
81571,122957,Trump’s mystery house buyer is a Manhattan real estate mogul,New York Post,2017-01-08T00:00:00Z
