Column,id,title,publication,date
0,17283,House Republicans Fret About Winning Their Health Care Suit - The New York Times,New York Times,2016-12-31
1,17284,Rift Between Officers and Residents as Killings Persist in South Bronx - The New York Times,New York Times,2017-06-19
2,17285,"Tyrus Wong, ‘Bambi’ Artist Thwarted by Racial Bias, Dies at 106 - The New York Times",New York Times,2017-01-06
3,17286,"Among Deaths in 2016, a Heavy Toll in Pop Music - The New York Times",New York Times,2017-04-10
4,17287,Kim Jong-un Says North Korea Is Preparing to Test Long-Range Missile - The New York Times,New York Times,2017-01-02
5,17288,"Sick With a Cold, Queen Elizabeth Misses New Year’s Service - The New York Times",New York Times,2017-01-02
6,17289,Taiwan’s President Accuses China of Renewed Intimidation - The New York Times,New York Times,2017-01-02
7,17290,"After ‘The Biggest Loser,’ Their Bodies Fought to Regain Weight - The New York Times",New York Times,2017-02-08
8,17291,"First, a Mixtape. Then a Romance. - The New York Times",New York Times,2016-12-31
9,17292,Calling on Angels While Enduring the Trials of Job - The New York Times,New York Times,2016-12-31
10,17293,Weak Federal Powers Could Limit Trump’s Climate-Policy Rollback - The New York Times,New York Times,2017-01-03
11,17294,Can Carbon Capture Technology Prosper Under Trump? - The New York Times,New York Times,2017-01-05
12,17295,"Mar-a-Lago, the Future Winter White House and Home of the Calmer Trump - The New York Times",New York Times,2017-01-02
13,17296,How to form healthy habits in your 20s - The New York Times,New York Times,2017-01-02
14,17297,Turning Your Vacation Photos Into Works of Art - The New York Times,New York Times,2017-04-14
15,17298,"As Second Avenue Subway Opens, a Train Delay Ends in (Happy) Tears - The New York Times",New York Times,2017-01-02
16,17300,Dylann Roof Himself Rejects Best Defense Against Execution - The New York Times,New York Times,2017-01-02
17,17301,"Modi’s Cash Ban Brings Pain, but Corruption-Weary India Grits Its Teeth - The New York Times",New York Times,2017-01-02
18,17302,Suicide Bombing in Baghdad Kills at Least 36 - The New York Times,New York Times,2017-01-03
19,17303,Fecal Pollution Taints Water at Melbourne’s Beaches After Storm - The New York Times,New York Times,2017-01-03
20,17305,"N.F.L. Playoffs: Schedule, Matchups and Odds - The New York Times",New York Times,2017-01-03
21,17306,Mariah Carey’s Manager Blames Producers for New Year’s Eve Nightmare - The New York Times,New York Times,2017-01-02
22,17307,"Damaged by War, Syria’s Cultural Sites Rise Anew in France - The New York Times",New York Times,2017-01-01
23,17308,George Michael’s Freedom Video: An Oral History - The New York Times,New York Times,2017-01-01
24,17309,"With New Congress Poised to Convene, Obama’s Policies Are in Peril - The New York Times",New York Times,2017-01-02
25,17311,Republicans Stonewalled Obama. Now the Ball Is in Their Court. - The New York Times,New York Times,2017-01-03
26,17312,"Istanbul, Donald Trump, Benjamin Netanyahu: Your Morning Briefing - The New York Times",New York Times,2017-01-03
27,17313,Inside Trump Defense Secretary Pick’s Efforts to Halt Torture - The New York Times,New York Times,2017-01-05
28,17314,ISIS Claims Responsibility for Istanbul Nightclub Attack - The New York Times,New York Times,2017-01-03
29,17317,The Afghan War and the Evolution of Obama - The New York Times,New York Times,2017-01-17
30,17318,Tips for Your Post-Holiday Clutter Purge - The New York Times,New York Times,2017-04-11
31,17319,Benjamin Netanyahu Questioned in Israel Graft Inquiry - The New York Times,New York Times,2017-01-03
32,17321,"France Lets Workers Turn Off, Tune Out and Live Life - The New York Times",New York Times,2017-01-03
33,17323,"Airline Pilot, Believed to Be Drunk, Is Pulled From Cockpit in Canada - The New York Times",New York Times,2017-01-03
34,17324,Riot by Drug Gangs in Brazil Prison Leaves at Least 56 Dead - The New York Times,New York Times,2017-01-16
35,17325,SpaceX Says It’s Ready to Launch Rockets Again - The New York Times,New York Times,2017-01-02
36,17326,A ‘World Unto Itself’ in New York Area Yeshivas: Floor Hockey - The New York Times,New York Times,2017-03-13
37,17327,Inside Jonathan Lethem’s Oddball Trove - The New York Times,New York Times,2017-01-02
38,17328,An Immigrant’s Instinct to Aid Others Collides With Financial Need - The New York Times,New York Times,2017-01-02
39,17330,"House Republicans, Under Fire, Back Down on Gutting Ethics Office - The New York Times",New York Times,2017-01-04
40,17331,"Republican Party, Megyn Kelly, Titanic: Your Wednesday Briefing - The New York Times",New York Times,2017-01-04
41,17332,Turmoil Overshadows First Day of Republican-Controlled Congress - The New York Times,New York Times,2017-01-04
42,17333,"With Choice of Trade Negotiator, Trump Prepares to Confront Mexico and China - The New York Times",New York Times,2017-01-04
43,17334,Trump Appears to Side With Assange Over Intelligence Agencies’ Conclusions - The New York Times,New York Times,2017-01-05
44,17335,California Hires Eric Holder as Legal Bulwark Against Donald Trump - The New York Times,New York Times,2017-01-05
45,17336,Israeli Soldier Who Shot Wounded Palestinian Assailant Is Convicted - The New York Times,New York Times,2017-01-05
46,17337,Work. Walk 5 Minutes. Work. - The New York Times,New York Times,2017-01-09
