Column,id,title,publication,date
93,17392,Trump Takes on Democrats and Health Law in New Twitter Blitz - The New York Times,New York Times,2017-01-06T00:00:00Z
253,17569,Eric Holder to Lead Democrats’ Attack on Republican Gerrymandering - The New York Times,New York Times,2017-01-13T00:00:00Z
322,17644,Democrats Confront F.B.I. Chief at Closed-Door Intelligence Briefing - The New York Times,New York Times,2017-01-18T00:00:00Z
554,17911,"Democrats, With Garland on Mind, Mobilize for Supreme Court Fight - The New York Times",New York Times,2017-01-25T00:00:00Z
751,18145,"Democrats Skip Votes, Delaying Confirmation of Trump Nominees - The New York Times",New York Times,2017-02-01T00:00:00Z
770,18166,Trump Says ‘Go Nuclear’ as Democrats Gird for Gorsuch Fight - The New York Times,New York Times,2017-02-02T00:00:00Z
1304,18754,Democrats’ Best Bet to Retake the House? Follow the Sun - The New York Times,New York Times,2017-02-23T00:00:00Z
1321,18772,"Weakened Democrats Bow to Voters, Opting for Total War on Trump - The New York Times",New York Times,2017-02-24T00:00:00Z
1709,19194,"If Russia Inquiry Is Not ‘Legitimate,’ Democrats May Abandon It - The New York Times",New York Times,2017-03-12T00:00:00Z
1747,19234,"It’s Democrats’ Turn to Hint at a Shutdown, Over Border Wall Funding - The New York Times",New York Times,2017-03-15T00:00:00Z
1816,19313,"A History of Presidents, Mostly Democrats, Paying Homage to Jackson - The New York Times",New York Times,2017-03-16T00:00:00Z
1987,19516,Democrats Plan to Filibuster to Thwart Gorsuch Nomination - The New York Times,New York Times,2017-03-24T00:00:00Z
2009,19539,"In a Call to The Times, Trump Blames Democrats for the Failure of the Health Bill - The New York Times",New York Times,2017-03-25T00:00:00Z
2062,19595,"Democrats, Buoyed by G.O.P. Health Defeat, See No Need to Offer Hand - The New York Times",New York Times,2017-03-27T00:00:00Z
2079,19614,House Democrats Ask Devin Nunes to Recuse Himself From Russia Inquiry - The New York Times,New York Times,2017-03-28T00:00:00Z
2261,19809,Democrats’ Vow to Filibuster Ensures Bitter Fight Over Gorsuch - The New York Times,New York Times,2017-04-04T00:00:00Z
2343,19898,Democrats Are Bad at Midterm Turnout. That Seems Ready to Change. - The New York Times,New York Times,2017-04-06T00:00:00Z
2448,20017,Democrats See Opening in Tax Overhaul Fight: Trump’s Own Deductions - The New York Times,New York Times,2017-04-10T00:00:00Z
2809,20408,"Success of Jerry Brown, and California, Offers Lesson to National Democrats - The New York Times",New York Times,2016-11-07T00:00:00Z
2880,20482,Democrats Jump on Allies of Donald Trump in Judge Dispute - The New York Times,New York Times,2016-06-07T00:00:00Z
2915,20518,"Obama Endorses Hillary Clinton, and Urges Democrats to Unite - The New York Times",New York Times,2016-06-10T00:00:00Z
3055,20669,House Democrats’ Gun-Control Sit-In Turns Into Chaotic Showdown With Republicans - The New York Times,New York Times,2016-12-08T00:00:00Z
3116,20736,House Democrats Release Benghazi Report to Blunt Republican Inquiry - The New York Times,New York Times,2016-06-28T00:00:00Z
3383,21038,"Democrats’ Divisions Linger, but Parties Have Seen Far Worse - The New York Times",New York Times,2016-07-28T00:00:00Z
3716,21407,Democrats Have a 60 Percent Chance to Retake the Senate - The New York Times,New York Times,2016-08-24T00:00:00Z
3862,21569,"Young Blacks Voice Skepticism on Hillary Clinton, Worrying Democrats - The New York Times",New York Times,2016-09-06T00:00:00Z
3893,21600,Senate Democrats Block Zika Bill Over Planned Parenthood Provisions - The New York Times,New York Times,2017-02-28T00:00:00Z
4164,21904,"Democrats Rake In Money, Thanks to Suit by Republicans - The New York Times",New York Times,2016-10-11T00:00:00Z
4312,22071,"Florida Voter Registration Deadline Is Extended, a Win for Democrats - The New York Times",New York Times,2016-10-17T00:00:00Z
4571,22349,Congressional Republicans Project Unity While Democrats Scramble - The New York Times,New York Times,2017-04-05T00:00:00Z
4625,22409,"In a Trump Era, Schumer Declares, Democrats Are ‘the Barrier’ - The New York Times",New York Times,2017-04-17T00:00:00Z
4754,22562,"After Democrats’ Losses, Nancy Pelosi Becomes a Symbol of What Went Wrong - The New York Times",New York Times,2017-04-09T00:00:00Z
4810,22623,"Hearings Will Unmask ‘Swamp Creatures’ in Trump’s Cabinet, Democrats Say - The New York Times",New York Times,2017-04-19T00:00:00Z
4899,22722,"Senate Democrats Relent, Averting Government Shutdown - The New York Times",New York Times,2017-04-14T00:00:00Z
4924,22752,Trump Links C.I.A. Reports on Russia to Democrats’ Shame Over Election - The New York Times,New York Times,2016-12-14T00:00:00Z
4987,22821,"To Combat Trump, Democrats Ready a G.O.P. Tactic: Lawsuits - The New York Times",New York Times,2017-04-25T00:00:00Z
4988,22822,"Democrats at Crossroads: Win Back Working-Class Whites, or Let Them Go? - The New York Times",New York Times,2017-04-14T00:00:00Z
