Column,id,title,publication,date
10,17293,Weak Federal Powers Could Limit Trump’s Climate-Policy Rollback - The New York Times,New York Times,2017-01-03
11,17294,Can Carbon Capture Technology Prosper Under Trump? - The New York Times,New York Times,2017-01-05
12,17295,"Mar-a-Lago, the Future Winter White House and Home of the Calmer Trump - The New York Times",New York Times,2017-01-02
26,17312,"Istanbul, Donald Trump, Benjamin Netanyahu: Your Morning Briefing - The New York Times",New York Times,2017-01-03
27,17313,Inside Trump Defense Secretary Pick’s Efforts to Halt Torture - The New York Times,New York Times,2017-01-05
42,17333,"With Choice of Trade Negotiator, Trump Prepares to Confront Mexico and China - The New York Times",New York Times,2017-01-04
43,17334,Trump Appears to Side With Assange Over Intelligence Agencies’ Conclusions - The New York Times,New York Times,2017-01-05
44,17335,California Hires Eric Holder as Legal Bulwark Against Donald Trump - The New York Times,New York Times,2017-01-05
60,17353,Ivanka Trump’s New Washington Home Once Belonged to a Putin Foe - The New York Times,New York Times,2017-01-23
61,17354,Donald Trump Nominates Wall Street Lawyer to Head S.E.C. - The New York Times,New York Times,2017-01-05
74,17369,"Fed Officials See Faster Economic Growth Under Trump, but No Boom - The New York Times",New York Times,2017-01-05
77,17373,"Enough With the Tweets, China’s State Media Tells Trump - The New York Times",New York Times,2017-01-05
87,17386,"Countering Trump, Bipartisan Voices Strongly Affirm Findings on Russian Hacking - The New York Times",New York Times,2017-01-06
90,17389,Trump Said ‘Torture Works.’ An Echo Is Feared Worldwide. - The New York Times,New York Times,2017-01-06
93,17392,Trump Takes on Democrats and Health Law in New Twitter Blitz - The New York Times,New York Times,2017-01-06T00:00:00Z
109,17410,"Putin Led a Complex Cyberattack Scheme to Aid Trump, Report Finds - The New York Times",New York Times,2017-01-07
113,17414,Trump Nominees’ Filings Threaten to Overwhelm Federal Ethics Office - The New York Times,New York Times,2017-01-07
114,17415,Trump Meets With Some Vocal Critics: Editors at Vanity Fair and Vogue - The New York Times,New York Times,2017-01-07
115,17416,Hospital Confirms Eric Trump Helped Raise $16.3 Million for It - The New York Times,New York Times,2017-01-07
116,17417,"Donald Trump, Fort Lauderdale: Your Friday Evening Briefing - The New York Times",New York Times,2017-01-06
126,17428,Kerry Lists Obama Era’s Diplomatic Successes. (Trump Opposes Them All.) - The New York Times,New York Times,2017-01-07T00:00:00Z
135,17439,Trump Calls for Closer Relationship Between U.S. and Russia - The New York Times,New York Times,2017-01-08
139,17444,Trump Insists Mexico Will Pay for Wall After U.S. Begins the Work - The New York Times,New York Times,2017-01-07
155,17462,"Donald Trump, Golden Globes, Jerusalem: Your Monday Briefing - The New York Times",New York Times,2017-01-10
159,17466,‘What’s the Big Deal?’ Ask Trump Voters on Russia Hacking Report - The New York Times,New York Times,2017-01-08
164,17472,Donald Trump Says He’s Not Surprised by Meryl Streep’s Golden Globes Speech - The New York Times,New York Times,2017-01-10
173,17482,"North Korea, Rebuking Trump, Says It Can Test Long-Range Missile ‘Anytime’ - The New York Times",New York Times,2017-01-10
188,17497,"Jared Kushner, a Trump In-Law and Adviser, Chases a Chinese Deal - The New York Times",New York Times,2017-01-10
