Column,id,title,publication,date
119262,175379,Trump praises Putin for holding back in U.S.-Russia spy dispute,Reuters,2016-12-31T00:00:00Z
119283,175428,Trump fans’ ’Deploraball’ party shows rift in alt-right movement,Reuters,2016-12-29T00:00:00Z
119285,175432,Trump aide says U.S. sanctions on Russia may be disproportionate,Reuters,2017-01-02T00:00:00Z
119295,175479,"Trump leaves open possible Taiwan meet, questions Russia hacking",Reuters,2017-01-01T00:00:00Z
119298,175488,"New Congress prepares to undo Obamacare, weigh Trump personnel picks",Reuters,2017-01-03T00:00:00Z
119301,175495,Cuba puts on show of strength as Trump inauguration nears,Reuters,2017-01-02T00:00:00Z
119306,175508,"Migrants in U.S., Mexico fret about Trump threat to halt remittances",Reuters,2017-01-02T00:00:00Z
119318,175535,Rough start for U.S. Republicans on first day of Trump-era Congress,Reuters,2017-01-04T00:00:00Z
119319,175538,"Chided by Trump, Ford scraps Mexico factory, adds Michigan jobs",Reuters,2017-01-03T00:00:00Z
119320,175539,"Trump’s SEC pick Clayton points to capital formation, not enforcement",Reuters,2017-01-05T00:00:00Z
119332,175571,Oil business seen in strong position as Trump tackles tax reform,Reuters,2017-01-04T00:00:00Z
119343,175591,Fed policymakers agree Trump fiscal boost poses inflation risk,Reuters,2017-01-05T00:00:00Z
119360,175628,Trump voices new doubts about Russian efforts to sway U.S. vote,Reuters,2017-01-04T00:00:00Z
119365,175640,Trump team has differences of opinion on shaping spy agencies: sources,Reuters,2017-01-06T00:00:00Z
119366,175641,"U.S. spy chief ’resolute’ on Russia cyber attack, differs with Trump",Reuters,2017-01-06T00:00:00Z
119367,175643,Trump hits Toyota in latest broadside against carmakers and Mexico,Reuters,2017-01-06T00:00:00Z
119381,175666,U.S. agency to free up protest sites during Trump inauguration,Reuters,2017-01-06T00:00:00Z
119382,175668,Democrats demand probe of Trump health nominee,Reuters,2017-01-05T00:00:00Z
119383,175670,Amazon may hold Trump card in retail mess,Reuters,2017-01-05T00:00:00Z
119394,175698,U.S. intel report: Putin directed cyber campaign to help Trump,Reuters,2017-01-08T00:00:00Z
119396,175701,Trump says Mexico would repay U.S. funds spent on border wall,Reuters,2017-01-06T00:00:00Z
119401,175708,Ford plant turns ’cemetery’ as Trump wrenches Mexican autos,Reuters,2017-01-06T00:00:00Z
119403,175713,"As Trump targets Toyota over Mexico, Nissan faces bigger risk",Reuters,2017-01-06T00:00:00Z
119416,175745,U.S. Congress certifies Trump’s Electoral College victory,Reuters,2017-01-06T00:00:00Z
119417,175746,"Anarchists threaten to disrupt Trump inauguration, police say ready",Reuters,2017-01-06T00:00:00Z
119432,175803,Trump acknowledges Russia role in U.S. election hacking: aide,Reuters,2017-01-09T00:00:00Z
119433,175805,Republican senators urge Trump to embrace findings on Russia hacking,Reuters,2017-01-08T00:00:00Z
119435,175808,Fiat Chrysler to add U.S. jobs as Trump puts spotlight on industry,Reuters,2017-01-09T00:00:00Z
119447,175830,Commentary: Reading news in the age of Trump? Think like a spy.,Reuters,2017-01-05T00:00:00Z
119454,175856,"Amid hacking row, pressure builds on Trump to soften pro-Russia rhetoric",Reuters,2017-01-10T00:00:00Z
119455,175857,Trump’s son-in-law Kushner to become senior White House adviser,Reuters,2017-01-10T00:00:00Z
119459,175873,"Ryan, Trump team discuss border tax at Capitol Hill meeting",Reuters,2017-01-10T00:00:00Z
119461,175876,Top U.S. Senate Democrat says Trump’s nominees need ’thorough’ vetting,Reuters,2017-01-09T00:00:00Z
119463,175878,"Auto executives, with eye on Trump, highlight U.S. investments",Reuters,2017-01-09T00:00:00Z
119468,175888,"Cuba, United States sign oil spill deal before Trump inauguration",Reuters,2017-01-10T00:00:00Z
119478,175912,Trump’s choice for U.S. attorney general says he can stand up to him,Reuters,2017-01-11T00:00:00Z
119479,175913,Robert Kennedy Jr. says tapped by Trump to head vaccine safety review,Reuters,2017-01-11T00:00:00Z
119480,175914,Russia hacked Republican state campaigns but not Trump’s: FBI head,Reuters,2017-01-11T00:00:00Z
119483,175917,Trump accuses U.S. spy agencies of Nazi practices over ’phony’ Russia dossier,Reuters,2017-01-12T00:00:00Z
119484,175918,Trump says won’t divest from his business while president,Reuters,2017-01-11T00:00:00Z
119485,175920,Mexico lays out cards for high stakes talks with Trump,Reuters,2017-01-12T00:00:00Z
119486,175922,"Wall Street ends choppy session higher, health lags on Trump comments",Reuters,2017-01-11T00:00:00Z
119487,175923,"Trump says pharma ’getting away with murder,’ stocks slide",Reuters,2017-01-11T00:00:00Z
119490,175930,Secretary of State nominee Tillerson veers from Trump on key issues,Reuters,2017-01-12T00:00:00Z
119499,175947,"Commentary: True or not, Russia allegations will scar Trump presidency",Reuters,2017-01-12T00:00:00Z
119500,175948,Trump business-conflicts failure lines up gridlock,Reuters,2017-01-11T00:00:00Z
119501,175949,Pharma pays for getting too comfy with Trump,Reuters,2017-01-11T00:00:00Z
119505,175959,Trump recommits to ’major border tax’ on foreign-produced U.S. products,Reuters,2017-01-12T00:00:00Z
119511,175976,"Fed officials see quick economic boost from Trump, risks to follow",Reuters,2017-01-13T00:00:00Z
119514,175979,U.S. farmers ask Trump to stay the course on Cuba,Reuters,2017-01-13T00:00:00Z
119524,175992,French far right leader Le Pen visits Trump Tower but no Trump talks,Reuters,2017-01-12T00:00:00Z
119525,175993,Former MI6 spy known to U.S. agencies is author of reports on Trump in Russia,Reuters,2017-01-12T00:00:00Z
119531,176001,Protests will aim to disrupt Trump inauguration: organizers,Reuters,2017-01-12T00:00:00Z
119534,176004,Fast-food workers protest Trump’s labor secretary nominee,Reuters,2017-01-12T00:00:00Z
119535,176006,Trump’s Pentagon choice says U.S. needs to be ready to confront Russia,Reuters,2017-01-12T00:00:00Z
