Column,id,title,publication,date
0,17283,House Republicans Fret About Winning Their Health Care Suit - The New York Times,New York Times,2016-12-31T00:00:00Z
25,17311,Republicans Stonewalled Obama. Now the Ball Is in Their Court. - The New York Times,New York Times,2017-01-03T00:00:00Z
39,17330,"House Republicans, Under Fire, Back Down on Gutting Ethics Office - The New York Times",New York Times,2017-01-04T00:00:00Z
40,17331,"Republican Party, Megyn Kelly, Titanic: Your Wednesday Briefing - The New York Times",New York Times,2017-01-04T00:00:00Z
41,17332,Turmoil Overshadows First Day of Republican-Controlled Congress - The New York Times,New York Times,2017-01-04T00:00:00Z
57,17349,Senate Republicans Open Fight Over Obama Health Law - The New York Times,New York Times,2017-01-05T00:00:00Z
59,17352,"In Republicans’ Ethics Office Gambit, a Spectacle of Tweets and Retreats - The New York Times",New York Times,2017-01-05T00:00:00Z
91,17390,Republicans’ 4-Step Plan to Repeal the Affordable Care Act - The New York Times,New York Times,2017-01-06T00:00:00Z
210,17522,"Republicans, Facing Pressure, Delay Hearings for 4 Trump Cabinet Nominees - The New York Times",New York Times,2017-01-11T00:00:00Z
253,17569,Eric Holder to Lead Democrats’ Attack on Republican Gerrymandering - The New York Times,New York Times,2017-01-13T00:00:00Z
382,17717,Fear Spurs Support for Health Law as Republicans Work to Repeal It - The New York Times,New York Times,2017-01-19T00:00:00Z
404,17742,Republican Men Say It’s a Better Time to Be a Woman Than a Man - The New York Times,New York Times,2017-01-19T00:00:00Z
609,17969,Republicans Now Marching With Trump on Ideas They Had Opposed - The New York Times,New York Times,2017-01-27T00:00:00Z
652,18016,"Google, in Post-Obama Era, Aggressively Woos Republicans - The New York Times",New York Times,2017-01-31T00:00:00Z
809,18209,Republicans Move to Block Rule on Coal Mining Near Streams - The New York Times,New York Times,2017-02-03T00:00:00Z
1375,18830,Key Republican in Health Law’s Fate Hails From a State That Embraced It - The New York Times,New York Times,2017-02-26T00:00:00Z
1429,18892,"Desperate for Presidential Leadership, Republicans Find Little - The New York Times",New York Times,2017-03-01T00:00:00Z
1485,18953,"Across the Country, a Republican Push to Rein In Protesters - The New York Times",New York Times,2017-03-03T00:00:00Z
1563,19038,House Republicans Unveil Plan to Replace Health Law - The New York Times,New York Times,2017-03-07T00:00:00Z
1593,19069,Why Even Some Republicans Are Rejecting the Replacement Bill - The New York Times,New York Times,2017-03-09T00:00:00Z
1595,19072,"Republican Party, Central Intelligence Agency: Your Tuesday Evening Briefing - The New York Times",New York Times,2017-03-11T00:00:00Z
1649,19131,Why Republicans Are Battling Republicans on Obamacare Repeal - The New York Times,New York Times,2017-03-10T00:00:00Z
1650,19133,"Republican Party, C.I.A., Syria: Your Thursday Evening Briefing - The New York Times",New York Times,2017-03-11T00:00:00Z
1682,19166,"Republican Party, ‘Kong: Skull Island’: Your Friday Evening Briefing - The New York Times",New York Times,2017-03-14T00:00:00Z
1735,19222,"Donald Trump, Republican Party, Daylight Saving: Your Weekend Briefing - The New York Times",New York Times,2017-03-12T00:00:00Z
1799,19293,"Republicans, Syria, Geert Wilders: Your Wednesday Evening Briefing - The New York Times",New York Times,2017-03-16T00:00:00Z
1801,19295,"Openly Testy, Republicans Reject the President’s Wiretap Claims - The New York Times",New York Times,2017-03-16T00:00:00Z
1826,19323,"Republicans, Wilders, Tillerson: Your Thursday Evening Briefing - The New York Times",New York Times,2017-03-17T00:00:00Z
1844,19347,Republicans Start Lining Up to Fight for the N.E.A. and N.E.H. - The New York Times,New York Times,2017-04-27T00:00:00Z
1935,19459,Trump Warns House Republicans: Repeal Health Law or Lose Your Seats - The New York Times,New York Times,2017-03-23T00:00:00Z
1961,19487,Leaders Struggle to Unite House Republicans Behind Health Bill - The New York Times,New York Times,2017-03-23T00:00:00Z
1990,19519,"Gorsuch, London, Republican Party: Your Thursday Evening Briefing - The New York Times",New York Times,2017-03-24T00:00:00Z
2011,19541,"Republicans Land a Punch on Health Care, to Their Own Face - The New York Times",New York Times,2017-03-25T00:00:00Z
2061,19594,"Dealt a Defeat, Republicans Set Their Sights on Major Tax Cuts - The New York Times",New York Times,2017-03-28T00:00:00Z
2111,19647,"Repeal of Affordable Care Act Is Back on Agenda, Republicans Say - The New York Times",New York Times,2017-03-31T00:00:00Z
2293,19846,Republican Health Proposal Would Undermine Coverage for Pre-existing Conditions - The New York Times,New York Times,2017-05-02T00:00:00Z
2328,19882,"As Latest Health Plan Dies, Republicans Can’t Agree on a Culprit - The New York Times",New York Times,2017-04-06T00:00:00Z
2353,19909,Senate Republicans Deploy ‘Nuclear Option’ to Clear Path for Gorsuch - The New York Times,New York Times,2017-04-07T00:00:00Z
2502,20074,"Suburban G.O.P. Voters Sour on Party, Raising Republican Fears for 2018 - The New York Times",New York Times,2017-04-13T00:00:00Z
2503,20075,A Republican Wins in Kansas. It’s Still a Loss for the G.O.P. - The New York Times,New York Times,2017-04-13T00:00:00Z
2597,20180,"With Uncertainty at Top of Ticket, Republicans Back Off in Some States - The New York Times",New York Times,2016-04-22T00:00:00Z
2659,20244,"Wary of Trump Effect, Republicans Hope for Split Tickets - The New York Times",New York Times,2016-04-29T00:00:00Z
2667,20252,"Run on a Ticket With Donald Trump? No, Thanks, Many Republicans Say - The New York Times",New York Times,2016-10-16T00:00:00Z
2702,20292,"With Donald Trump in Charge, Republicans Have a Day of Reckoning - The New York Times",New York Times,2016-05-06T00:00:00Z
2710,20300,Republican Party Unravels Over Donald Trump’s Takeover - The New York Times,New York Times,2016-11-15T00:00:00Z
2765,20361,"Republicans Want Their Party to Unify Behind Donald Trump, Poll Shows - The New York Times",New York Times,2016-05-20T00:00:00Z
2971,20580,"Republicans, Who Warned of Dithering on Ebola, Now Hesitate on Zika - The New York Times",New York Times,2016-11-30T00:00:00Z
2989,20600,The 5 Types of Trump-Averse Republicans - The New York Times,New York Times,2016-06-18T00:00:00Z
3055,20669,House Democrats’ Gun-Control Sit-In Turns Into Chaotic Showdown With Republicans - The New York Times,New York Times,2016-12-08T00:00:00Z
3116,20736,House Democrats Release Benghazi Report to Blunt Republican Inquiry - The New York Times,New York Times,2016-06-28T00:00:00Z
3198,20828,"On Hillary Clinton’s Rough Day, Republicans Rue Missed Chance - The New York Times",New York Times,2016-07-07T00:00:00Z
3253,20890,"Dallas, Republican Party, Britain: Your Monday Evening Briefing - The New York Times",New York Times,2016-07-11T00:00:00Z
3256,20894,Republicans Begin Hashing Out Details of Convention Platform - The New York Times,New York Times,2016-07-12T00:00:00Z
3332,20982,"Republican Convention, Baton Rouge, Turkey: Your Monday Evening Briefing - The New York Times",New York Times,2016-07-19T00:00:00Z
3345,20996,"Republican Convention, Hillary Clinton, Roger Ailes: Your Tuesday Evening Briefing - The New York Times",New York Times,2016-08-22T00:00:00Z
3351,21002,Mike Pence’s Journey: Catholic Democrat to Evangelical Republican - The New York Times,New York Times,2016-07-21T00:00:00Z
3353,21004,Police and Protesters Clash Over Flag Burning at Republican Convention - The New York Times,New York Times,2016-07-22T00:00:00Z
3439,21100,Obama Says Republicans Should Withdraw Support for Trump - The New York Times,New York Times,2016-08-08T00:00:00Z
3454,21117,How Donald Trump and President Obama Put Republicans in a Bind - The New York Times,New York Times,2016-08-05T00:00:00Z
3513,21181,"Evan McMullin, Anti-Trump Republican, Mounts Independent Presidential Bid - The New York Times",New York Times,2016-08-09T00:00:00Z
3651,21337,Republicans Running for Congress Struggle With an ‘Albatross’ - The New York Times,New York Times,2016-08-24T00:00:00Z
4088,21823,"College Republicans, Once ‘the Best Party on Campus,’ Endure Taunts Over Trump - The New York Times",New York Times,2017-02-25T00:00:00Z
4164,21904,"Democrats Rake In Money, Thanks to Suit by Republicans - The New York Times",New York Times,2016-10-11T00:00:00Z
4297,22055,Split Over Donald Trump Threatens to Tilt Republican States - The New York Times,New York Times,2016-10-12T00:00:00Z
4372,22134,"Showing Confidence, Hillary Clinton Pushes Into Republican Strongholds - The New York Times",New York Times,2016-10-19T00:00:00Z
4375,22137,"Trump, Mosul, Republican Party: Your Monday Evening Briefing - The New York Times",New York Times,2016-10-18T00:00:00Z
4497,22266,"Donald Trump, Republican Party, Marijuana: Your Wednesday Evening Briefing - The New York Times",New York Times,2016-11-09T00:00:00Z
4533,22304,Republicans Expand Control in a Deeply Divided Nation - The New York Times,New York Times,2017-04-05T00:00:00Z
4571,22349,Congressional Republicans Project Unity While Democrats Scramble - The New York Times,New York Times,2017-04-05T00:00:00Z
4652,22445,Judges Find Wisconsin Redistricting Unfairly Favored Republicans - The New York Times,New York Times,2016-11-24T00:00:00Z
4705,22506,Republicans Divided Between Romney and Giuliani for Secretary of State - The New York Times,New York Times,2017-04-07T00:00:00Z
4950,22782,Trump Lines Up Establishment Republicans to Vouch for Rex Tillerson - The New York Times,New York Times,2017-04-13T00:00:00Z
5286,23187,A Republican Congresswoman Has Personal Stake in Transgender Debate - The New York Times,New York Times,2016-05-24T00:00:00Z
5337,23243,‘I Can Watch It on TV’: Excuses for Republicans Skipping a Donald Trump Convention - The New York Times,New York Times,2016-06-03T00:00:00Z
5595,23566,"Republican Convention, Turkey, Garry Marshall: Your Wednesday Evening Briefing - The New York Times",New York Times,2016-07-21T00:00:00Z
5868,23947,Gary Johnson’s ‘What Is Aleppo’ Flub Amplifies Skepticism of Republicans - The New York Times,New York Times,2016-09-14T00:00:00Z
6046,24190,Why Republicans Are Probably Stuck With Donald Trump - The New York Times,New York Times,2016-10-18T00:00:00Z
6063,24214,Donald Trump Berates Paul Ryan and ‘Disloyal’ Republicans - The New York Times,New York Times,2016-10-12T00:00:00Z
6085,24241,House Republicans in Close Races Worry Trump’s Problems May Hurt Them - The New York Times,New York Times,2016-10-21T00:00:00Z
6403,24668,"For Republican Russia Hawks, a Dilemma Named Rex Tillerson - The New York Times",New York Times,2017-04-14T00:00:00Z
6722,25070,Republican Convention Night 3: What You Missed - The New York Times,New York Times,2016-07-28T00:00:00Z
6950,25390,Donald Trump Vows Retaliation as Republicans Abandon Him - The New York Times,New York Times,2016-10-14T00:00:00Z
7062,25551,Trump’s Next Battle: Keeping These Republican Senators Happy - The New York Times,New York Times,2017-04-19T00:00:00Z
7289,25843,Republican Convention Night 4: What You Missed - The New York Times,New York Times,2016-07-28T00:00:00Z
7337,25911,Democrats Step Up Pursuit of House Republicans Left Limping by Donald Trump - The New York Times,New York Times,2016-08-31T00:00:00Z
7566,26216,"Gun Control Wall, Bolstered by Republicans, Shows a Crack - The New York Times",New York Times,2016-07-01T00:00:00Z
7717,26424,"From Links to Lucifer to Calls for Execution, Republicans Seethe at Hillary Clinton - The New York Times",New York Times,2016-07-21T00:00:00Z
